source,co2_level,location,timestamp
"{\""source\"": \""Shipping\"," \""co2_level\"": 895"," \""location\"": \""Saint Lucia\"," \""timestamp\"": \""2024-04-28 11:54:39\""}"
"{\""source\"": \""Deforestation\"," \""co2_level\"": 553"," \""location\"": \""Kuwait\"," \""timestamp\"": \""2024-04-28 11:54:42\""}"
"{\""source\"": \""Factory\"," \""co2_level\"": 756"," \""location\"": \""Saint Pierre and Miquelon\"," \""timestamp\"": \""2024-04-28 11:54:45\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 826"," \""location\"": \""Liechtenstein\"," \""timestamp\"": \""2024-04-28 11:54:48\""}"
"{\""source\"": \""Deforestation\"," \""co2_level\"": 408"," \""location\"": \""Cayman Islands\"," \""timestamp\"": \""2024-04-28 11:54:51\""}"
"{\""source\"": \""Power Plant\"," \""co2_level\"": 887"," \""location\"": \""Bahamas\"," \""timestamp\"": \""2024-04-28 11:54:54\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 556"," \""location\"": \""Macao\"," \""timestamp\"": \""2024-04-28 11:54:57\""}"
"{\""source\"": \""Agriculture\"," \""co2_level\"": 922"," \""location\"": \""Tuvalu\"," \""timestamp\"": \""2024-04-28 11:55:00\""}"
"{\""source\"": \""Vehicle\"," \""co2_level\"": 439"," \""location\"": \""Iraq\"," \""timestamp\"": \""2024-04-28 11:55:03\""}"
"{\""source\"": \""Factory\"," \""co2_level\"": 612"," \""location\"": \""British Virgin Islands\"," \""timestamp\"": \""2024-04-28 11:55:06\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 433"," \""location\"": \""Fiji\"," \""timestamp\"": \""2024-04-28 11:55:09\""}"
"{\""source\"": \""Factory\"," \""co2_level\"": 853"," \""location\"": \""Saudi Arabia\"," \""timestamp\"": \""2024-04-28 11:55:12\""}"
"{\""source\"": \""Deforestation\"," \""co2_level\"": 745"," \""location\"": \""Mexico\"," \""timestamp\"": \""2024-04-28 11:55:15\""}"
"{\""source\"": \""Vehicle\"," \""co2_level\"": 396"," \""location\"": \""Afghanistan\"," \""timestamp\"": \""2024-04-28 11:55:18\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 622"," \""location\"": \""Antarctica (the territory South of 60 deg S)\"," \""timestamp\"": \""2024-04-28 11:56:34\""}"
"{\""source\"": \""Power Plant\"," \""co2_level\"": 691"," \""location\"": \""Mongolia\"," \""timestamp\"": \""2024-04-28 11:56:37\""}"
"{\""source\"": \""Agriculture\"," \""co2_level\"": 813"," \""location\"": \""Congo\"," \""timestamp\"": \""2024-04-28 11:56:40\""}"
"{\""source\"": \""Shipping\"," \""co2_level\"": 643"," \""location\"": \""North Macedonia\"," \""timestamp\"": \""2024-04-28 11:56:43\""}"
"{\""source\"": \""Power Plant\"," \""co2_level\"": 673"," \""location\"": \""Jamaica\"," \""timestamp\"": \""2024-04-28 11:56:46\""}"
"{\""source\"": \""Agriculture\"," \""co2_level\"": 604"," \""location\"": \""Micronesia\"," \""timestamp\"": \""2024-04-28 12:37:53\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 570"," \""location\"": \""Sierra Leone\"," \""timestamp\"": \""2024-04-28 12:37:56\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 787"," \""location\"": \""Ghana\"," \""timestamp\"": \""2024-04-28 12:37:59\""}"
"{\""source\"": \""Shipping\"," \""co2_level\"": 661"," \""location\"": \""Cook Islands\"," \""timestamp\"": \""2024-04-28 12:38:02\""}"
"{\""source\"": \""Vehicle\"," \""co2_level\"": 521"," \""location\"": \""San Marino\"," \""timestamp\"": \""2024-04-28 12:38:05\""}"
"{\""source\"": \""Shipping\"," \""co2_level\"": 967"," \""location\"": \""Micronesia\"," \""timestamp\"": \""2024-04-28 12:38:08\""}"
"{\""source\"": \""Deforestation\"," \""co2_level\"": 406"," \""location\"": \""Cayman Islands\"," \""timestamp\"": \""2024-04-28 12:38:11\""}"
"{\""source\"": \""Agriculture\"," \""co2_level\"": 858"," \""location\"": \""Turkey\"," \""timestamp\"": \""2024-04-28 12:38:14\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 622"," \""location\"": \""Gabon\"," \""timestamp\"": \""2024-04-28 12:38:17\""}"
"{\""source\"": \""Factory\"," \""co2_level\"": 971"," \""location\"": \""Christmas Island\"," \""timestamp\"": \""2024-04-28 12:38:20\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 394"," \""location\"": \""United Kingdom\"," \""timestamp\"": \""2024-04-28 14:57:15\""}"
"{\""source\"": \""Shipping\"," \""co2_level\"": 402"," \""location\"": \""Ireland\"," \""timestamp\"": \""2024-04-28 14:57:18\""}"
"{\""source\"": \""Deforestation\"," \""co2_level\"": 798"," \""location\"": \""South Africa\"," \""timestamp\"": \""2024-04-28 14:57:21\""}"
"{\""source\"": \""Vehicle\"," \""co2_level\"": 637"," \""location\"": \""Russian Federation\"," \""timestamp\"": \""2024-04-28 14:57:24\""}"
"{\""source\"": \""Vehicle\"," \""co2_level\"": 611"," \""location\"": \""China\"," \""timestamp\"": \""2024-04-28 14:57:27\""}"
"{\""source\"": \""Power Plant\"," \""co2_level\"": 320"," \""location\"": \""Jordan\"," \""timestamp\"": \""2024-04-28 14:57:30\""}"
"{\""source\"": \""Power Plant\"," \""co2_level\"": 997"," \""location\"": \""Faroe Islands\"," \""timestamp\"": \""2024-04-28 14:57:33\""}"
"{\""source\"": \""Agriculture\"," \""co2_level\"": 432"," \""location\"": \""Jordan\"," \""timestamp\"": \""2024-04-28 14:57:36\""}"
"{\""source\"": \""Vehicle\"," \""co2_level\"": 472"," \""location\"": \""Mexico\"," \""timestamp\"": \""2024-04-28 14:57:39\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 972"," \""location\"": \""Croatia\"," \""timestamp\"": \""2024-04-28 14:57:42\""}"
"{\""source\"": \""Agriculture\"," \""co2_level\"": 747"," \""location\"": \""Saudi Arabia\"," \""timestamp\"": \""2024-04-28 14:59:46\""}"
"{\""source\"": \""Shipping\"," \""co2_level\"": 581"," \""location\"": \""New Caledonia\"," \""timestamp\"": \""2024-04-28 14:59:49\""}"
"{\""source\"": \""Factory\"," \""co2_level\"": 469"," \""location\"": \""Greece\"," \""timestamp\"": \""2024-04-28 14:59:52\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 425"," \""location\"": \""British Indian Ocean Territory (Chagos Archipelago)\"," \""timestamp\"": \""2024-04-28 14:59:55\""}"
"{\""source\"": \""Construction\"," \""co2_level\"": 909"," \""location\"": \""Guinea\"," \""timestamp\"": \""2024-04-28 14:59:58\""}"
"{\""source\"": \""Agriculture\"," \""co2_level\"": 473"," \""location\"": \""Guadeloupe\"," \""timestamp\"": \""2024-04-28 15:00:01\""}"
"{\""source\"": \""Factory\"," \""co2_level\"": 918"," \""location\"": \""Guinea-Bissau\"," \""timestamp\"": \""2024-04-28 15:00:04\""}"
"{\""source\"": \""Vehicle\"," \""co2_level\"": 616"," \""location\"": \""Cyprus\"," \""timestamp\"": \""2024-04-28 15:00:07\""}"
"{\""source\"": \""Deforestation\"," \""co2_level\"": 979"," \""location\"": \""Burundi\"," \""timestamp\"": \""2024-04-28 15:00:10\""}"
"{\""source\"": \""Shipping\"," \""co2_level\"": 725"," \""location\"": \""French Southern Territories\"," \""timestamp\"": \""2024-04-28 15:00:13\""}"
"{\""source\"": \""Shipping\"," \""co2_level\"": 930"," \""location\"": \""Benin\"," \""timestamp\"": \""2024-04-28 15:00:16\""}"
"{\""source\"": \""Deforestation\"," \""co2_level\"": 737"," \""location\"": \""Saudi Arabia\"," \""timestamp\"": \""2024-04-28 15:00:19\""}"
"{\""source\"": \""Power Plant\"," \""co2_level\"": 990"," \""location\"": \""Cote d'Ivoire\"," \""timestamp\"": \""2024-04-28 15:00:22\""}"
"{""source"": ""Agriculture"," ""co2_level"": 493"," ""location"": ""Papua New Guinea"," ""timestamp"": ""2024-04-28 15:04:35""}"
"{""source"": ""Factory"," ""co2_level"": 911"," ""location"": ""Nicaragua"," ""timestamp"": ""2024-04-28 15:04:38""}"
"{""source"": ""Factory"," ""co2_level"": 305"," ""location"": ""Australia"," ""timestamp"": ""2024-04-28 15:04:41""}"
"{""source"": ""Shipping"," ""co2_level"": 938"," ""location"": ""New Caledonia"," ""timestamp"": ""2024-04-28 15:04:44""}"
"{""source"": ""Deforestation"," ""co2_level"": 418"," ""location"": ""Liberia"," ""timestamp"": ""2024-04-28 15:04:47""}"
"{""source"": ""Agriculture"," ""co2_level"": 351"," ""location"": ""Jamaica"," ""timestamp"": ""2024-04-28 15:04:50""}"
"{""source"": ""Power Plant"," ""co2_level"": 469"," ""location"": ""Liechtenstein"," ""timestamp"": ""2024-04-28 15:04:53""}"
Deforestation,925,Belize,2024-05-02 17:36:35
Agriculture,782,Cote d'Ivoire,2024-05-02 17:36:38
Vehicle,620,Eritrea,2024-05-02 17:36:41
Power Plant,618,Zimbabwe,2024-05-02 17:36:44
Deforestation,681,Svalbard & Jan Mayen Islands,2024-05-02 17:36:47
Construction,815,Isle of Man,2024-05-02 17:36:50
Construction,897,Niger,2024-05-02 17:36:53
Factory,935,Portugal,2024-05-02 17:36:56
Construction,395,French Southern Territories,2024-05-02 17:36:59
Construction,829,British Indian Ocean Territory (Chagos Archipelago),2024-05-02 17:37:02
Power Plant,698,Philippines,2024-05-02 17:37:05
Deforestation,634,Comoros,2024-05-02 17:37:08
Deforestation,880,Nigeria,2024-05-02 17:37:11
Construction,327,Cayman Islands,2024-05-02 17:37:14
Shipping,653,Tokelau,2024-05-02 17:37:17
Vehicle,812,South Georgia and the South Sandwich Islands,2024-05-02 17:37:20
Factory,397,Congo,2024-05-02 17:37:23
Vehicle,954,United States Virgin Islands,2024-05-02 17:37:26
Construction,955,Croatia,2024-05-02 17:37:29
Message 1
Message 2
Hey
Rahul
hey there
hey there
how are you?
what are you up to?
"{""order_id"": 409"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:18:26""}"
"{""order_id"": 67"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:18:29""}"
"{""order_id"": 306"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:18:32""}"
"{""order_id"": 375"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:18:35""}"
"{""order_id"": 730"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:18:38""}"
"{""order_id"": 959"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:18:41""}"
"{""order_id"": 892"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:31:23""}"
"{""order_id"": 652"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:31:26""}"
"{""order_id"": 97"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:31:29""}"
"{""order_id"": 169"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:31:32""}"
"{""order_id"": 768"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:31:35""}"
"{""order_id"": 223"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:31:38""}"
"{""order_id"": 678"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:31:41""}"
"{""order_id"": 817"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:31:44""}"
"{""order_id"": 519"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:31:47""}"
"{""order_id"": 916"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:31:50""}"
"{""order_id"": 320"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:32:26""}"
"{""order_id"": 667"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:32:29""}"
"{""order_id"": 627"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:32:32""}"
"{""order_id"": 365"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:32:35""}"
"{""order_id"": 323"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:32:38""}"
"{""order_id"": 164"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:32:41""}"
"{""order_id"": 26"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:35:11""}"
"{""order_id"": 816"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:35:14""}"
"{""order_id"": 188"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:17""}"
"{""order_id"": 330"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:35:20""}"
"{""order_id"": 437"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 3"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:23""}"
"{""order_id"": 385"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:26""}"
"{""order_id"": 318"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:35:29""}"
"{""order_id"": 34"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:35:32""}"
"{""order_id"": 306"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:35""}"
"{""order_id"": 865"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:35:38""}"
"{""order_id"": 342"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:36:56""}"
"{""order_id"": 94"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:36:59""}"
"{""order_id"": 355"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:37:02""}"
"{""order_id"": 495"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:37:05""}"
"{""order_id"": 647"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:37:08""}"
"{""order_id"": 403"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:37:11""}"
"{""order_id"": 301"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:37:14""}"
"{""order_id"": 315"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Small"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:37:17""}"
"{""order_id"": 287"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:37:53""}"
"{""order_id"": 166"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:37:56""}"
"{""order_id"": 878"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:37:59""}"
"{""order_id"": 585"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 3"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:38:02""}"
"{""order_id"": 35"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:38:05""}"
"{""order_id"": 219"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:38:08""}"
"{""order_id"": 946"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:38:11""}"
"{""order_id"": 963"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:38:14""}"
"{""order_id"": 781"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:38:17""}"
"{""order_id"": 23"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:44:26""}"
"{""order_id"": 210"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:44:29""}"
"{""order_id"": 638"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:44:32""}"
"{""order_id"": 637"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:44:35""}"
"{""order_id"": 955"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Large"," ""quantity"": 4"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:44:38""}"
"{""order_id"": 165"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:44:41""}"
"{""order_id"": 748"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:44:44""}"
"{""order_id"": 640"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:44:47""}"
"{""order_id"": 457"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:44:50""}"
"{""order_id"": 648"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:44:53""}"
"{""order_id"": 208"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:47:59""}"
"{""order_id"": 750"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:48:02""}"
"{""order_id"": 42"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:05""}"
"{""order_id"": 905"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:08""}"
"{""order_id"": 401"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:48:11""}"
"{""order_id"": 324"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:48:14""}"
"{""order_id"": 502"," ""pizza_type"": ""Vegetarian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:17""}"
"{""order_id"": 664"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:48:20""}"
"{""order_id"": 33"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:48:23""}"
"{""order_id"": 604"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:48:26""}"
"{""order_id"": 587"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Small"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:29""}"
"{""order_id"": 923"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:48:32""}"
"{""order_id"": 172"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 3"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:49:55""}"
"{""order_id"": 477"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:49:58""}"
"{""order_id"": 201"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Small"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:01""}"
"{""order_id"": 445"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Small"," ""quantity"": 2"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:04""}"
"{""order_id"": 956"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:50:07""}"
"{""order_id"": 425"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 2"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:10""}"
"{""order_id"": 21"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Medium"," ""quantity"": 3"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:13""}"
"{""order_id"": 568"," ""pizza_type"": ""Meat Feast"," ""pizza_size"": ""Large"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:16""}"
"{""order_id"": 306"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 2"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:50:19""}"
"{""order_id"": 48"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:22""}"
"{""order_id"": 718"," ""pizza_type"": ""Margherita"," ""pizza_size"": ""Large"," ""quantity"": 3"," ""delivery_address"": ""456 Elm St"," ""timestamp"": ""2024-04-27 23:50:25""}"
"{""order_id"": 524"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:28""}"
"{""order_id"": 144"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Large"," ""quantity"": 5"," ""delivery_address"": ""123 Main St"," ""timestamp"": ""2024-04-27 23:50:31""}"
"{""order_id"": 83"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:34""}"
"{""order_id"": 71"," ""pizza_type"": ""Pepperoni"," ""pizza_size"": ""Medium"," ""quantity"": 5"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:37""}"
"{""order_id"": 577"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 1"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:40""}"
"{""order_id"": 992"," ""pizza_type"": ""Hawaiian"," ""pizza_size"": ""Medium"," ""quantity"": 4"," ""delivery_address"": ""789 Oak St"," ""timestamp"": ""2024-04-27 23:50:43""}"
